model_label,mean_final_steps,mean_final_reward,policy,c_step,lambda_risk
Reservation,11.652291105121293,0.5212777563855727,policy2,-0.0005,0.75
Reservation,11.967654986522911,0.5228950070594272,policy2,0.001,0.6
Reservation,12.123989218328841,0.5239731741753302,policy2,0.002,0.45
Reservation,12.293800539083557,0.5259498138878189,policy2,0.005,0.15
Reservation,12.88679245283019,0.5421672442561926,policy2,-0.001,0.75
Reservation,13.123989218328841,0.5432454113720956,policy2,-0.0001,0.6
Reservation,13.485175202156334,0.5452220510845843,policy2,0.002,0.3
Reservation,13.50943396226415,0.546569759979463,policy2,0.001,0.4
Reservation,13.544474393530997,0.5485014760621225,policy2,-0.0005,0.6
Reservation,14.132075471698114,0.5506128866640991,policy2,0.001,0.35
Reservation,14.161725067385445,0.5524098318572708,policy2,-0.0001,0.5
Reservation,14.630727762803234,0.5557341804646383,policy2,0.0001,0.45
Reservation,14.881401617250674,0.5591034527018349,policy2,0.0005,0.35
Reservation,15.393530997304582,0.5700455653959692,policy2,-0.0001,0.45
Reservation,15.692722371967655,0.571393274290848,policy2,0.0005,0.3
Reservation,16.064690026954178,0.5731902194840196,policy2,-0.0001,0.4
Reservation,16.18059299191375,0.5735046848928247,policy2,0.001,0.18
Reservation,16.4177897574124,0.5744031574894105,policy2,0.0,0.35
Reservation,16.61455525606469,0.5747176228982155,policy2,-0.0005,0.45
Reservation,17.493261455525605,0.5775734822230774,policy2,-0.0001,0.25
Reservation,17.92452830188679,0.5779284343600002,common_support_interpolation,-0.0001,0.25
