model_label,mean_final_steps,mean_final_reward,policy,c_step,lambda_risk
Gaussian Head,8.865384615384615,0.2958885109890111,policy2,0.01,0.07
Gaussian Head,8.92032967032967,0.29592639560439565,policy2,0.0075,0.2
Gaussian Head,8.934065934065934,0.29866385989011,policy2,0.005,0.35
Gaussian Head,9.06868131868132,0.29885594505494517,policy2,0.0075,0.1
Gaussian Head,9.118131868131869,0.3015813873626375,policy2,0.002,0.5
Gaussian Head,9.123626373626374,0.3042789120879122,policy2,0.0005,0.6
Gaussian Head,9.18131868131868,0.30441793131868145,policy2,0.002,0.45
Gaussian Head,9.208791208791208,0.30704031318681335,policy2,0.005,0.15
Gaussian Head,9.233516483516484,0.3070804862637364,policy2,0.005,0.12
Gaussian Head,9.258241758241759,0.30740655219780233,policy2,0.005,0.1
Gaussian Head,9.282967032967033,0.3098592692307694,policy2,0.005,0.08
Gaussian Head,9.307692307692308,0.30991479670329686,policy2,0.005,0.05
Gaussian Head,9.37087912087912,0.3128941483516486,policy2,0.002,0.3
Gaussian Head,9.392857142857142,0.31322672252747275,policy2,0.001,0.4
Gaussian Head,9.398351648351648,0.313326024725275,policy2,5e-05,0.5
Gaussian Head,9.414835164835164,0.3135042939560442,policy2,0.0005,0.45
Gaussian Head,9.461538461538462,0.31649479670329694,policy2,0.0,0.5
Gaussian Head,9.546703296703297,0.3223682170329672,policy2,-5e-05,0.5
Gaussian Head,9.697802197802197,0.3225671675824178,policy2,-0.0001,0.5
Gaussian Head,9.711538461538462,0.3273237912087914,policy2,0.0005,0.35
Gaussian Head,9.725274725274724,0.3279351565934068,policy2,0.0,0.45
Gaussian Head,9.824175824175825,0.3305100549450551,policy2,5e-05,0.4
Gaussian Head,9.947802197802197,0.3328593626373628,policy2,0.0005,0.25
Gaussian Head,9.958791208791208,0.3329903214285716,policy2,0.001,0.15
Gaussian Head,10.07967032967033,0.33384023626373643,policy2,0.0001,0.35
Gaussian Head,10.12087912087912,0.33609637912087925,policy2,0.0002,0.3
Gaussian Head,10.18131868131868,0.3360969560439563,policy2,0.001,0.1
Gaussian Head,10.208791208791208,0.3361115054945057,policy2,0.001,0.09
Gaussian Head,10.236263736263735,0.33632532967032985,policy2,0.001,0.08
Gaussian Head,10.277472527472527,0.3387010329670332,policy2,0.001,0.07
Gaussian Head,10.340659340659341,0.3389159285714288,policy2,0.001,0.06
Gaussian Head,10.42032967032967,0.3389371346153848,policy2,0.001,0.04
Gaussian Head,10.554945054945055,0.33894436813186835,policy1,0.001,1.0
Gaussian Head,10.623626373626374,0.34006692582417597,policy2,5e-05,0.3
Gaussian Head,10.673076923076923,0.3445622939560441,policy2,0.0005,0.12
Gaussian Head,10.711538461538462,0.34458983516483527,policy2,0.0005,0.1
Gaussian Head,10.79945054945055,0.34739789835164847,policy2,0.0005,0.09
Gaussian Head,10.813186813186814,0.3507370357142858,policy2,0.0002,0.2
Gaussian Head,11.057692307692308,0.350928164835165,policy2,0.0002,0.18
Gaussian Head,11.18956043956044,0.35540968681318696,policy2,0.0005,0.06
Gaussian Head,11.25,0.35765413186813205,policy2,0.0005,0.05
Gaussian Head,11.42032967032967,0.3629396071428572,policy2,0.0005,0.04
Gaussian Head,11.543956043956044,0.365495576923077,policy2,0.0005,0.03
Gaussian Head,11.763736263736265,0.3656614203296705,policy2,0.0005,0.02
Gaussian Head,11.942307692307692,0.3657726675824176,policy2,0.0005,0.01
Gaussian Head,12.134615384615385,0.36592179395604396,policy1,0.0005,1.0
Gaussian Head,12.804945054945055,0.37173714835164834,policy2,0.0002,0.12
Gaussian Head,14.082417582417582,0.372304282967033,policy2,0.0002,0.1
Gaussian Head,15.43131868131868,0.3749633846153847,policy2,0.0002,0.09
Gaussian Head,16.51098901098901,0.37583465934065946,policy2,0.0002,0.08
Gaussian Head,17.357142857142858,0.38047093131868126,policy2,0.0001,0.15
Gaussian Head,18.61263736263736,0.38126288186813184,policy2,0.0002,0.07
Gaussian Head,19.884615384615383,0.3844178379120879,policy2,0.0002,0.06
Gaussian Head,21.434065934065934,0.38711265934065936,policy2,0.0002,0.05
Gaussian Head,24.206043956043956,0.3876647857142858,policy2,0.0002,0.04
Gaussian Head,25.255494505494507,0.39523892582417586,policy2,0.0001,0.12
Gaussian Head,28.046703296703296,0.39832681868131875,policy1,0.0002,1.0
Gaussian Head,29.72252747252747,0.3984713681318682,policy2,0.0001,0.1
Gaussian Head,30.854395604395606,0.3985945824175825,policy2,0.0001,0.09
Gaussian Head,31.60989010989011,0.39861246462986266,common_support_interpolation,0.0001,0.09
Feature ridge,8.79945054945055,0.28352700322405744,common_support_interpolation,0.005,1.0
Feature ridge,23.206043956043956,0.3878773406593406,policy1,0.002,1.0
Feature ridge,29.552197802197803,0.3982018076923077,policy1,0.001,1.0
Feature ridge,31.076923076923077,0.39835151373626376,policy1,0.0005,1.0
Feature ridge,31.60989010989011,0.3983652753851576,common_support_interpolation,0.0005,1.0
Step ridge,8.79945054945055,0.28348317059762396,common_support_interpolation,0.0075,1.0
Step ridge,31.60989010989011,0.3759160787479626,common_support_interpolation,0.0075,1.0
Reservation,8.79945054945055,0.28347179884004897,common_support_interpolation,0.001,0.5
Reservation,8.82967032967033,0.28354139835164843,policy2,0.002,0.4
Reservation,8.87912087912088,0.2874737582417583,policy2,0.002,0.35
